010010 99999 -25.2 10.8 0.3
010013 99999 -9.3 18.4 5.0
010014 99999 -9.0 27.6 8.2
010015 99999 -14.6 26.3 5.4
010016 99999 -12.2 25.0 6.6
010017 99999 -3.7 20.5 8.2
010020 99999 3.7 6.4 6.0
010030 99999 -29.6 10.9 -2.0
010040 99999 -22.5 11.3 -3.4
010050 99999 -26.8 8.9 -2.8
010070 99999 -30.3 13.2 -3.7
010080 99999 -42.7 15.3 -3.8
010090 99999 -9.7 20.6 4.4
010100 99999 -15.6 21.9 3.7
010140 99999 -14.0 21.0 2.7
010150 99999 -12.2 20.4 4.8
010170 99999 -8.4 15.3 5.5
010230 99999 -36.2 24.7 2.2
010231 99999 -3.5 21.5 7.8
010250 99999 -17.6 24.3 2.9
010260 99999 -12.7 19.9 3.4
010280 99999 -27.8 17.3 -0.2
010300 99999 -12.8 22.8 3.2
010320 99999 -17.7 10.2 1.8
010330 99999 -12.0 23.4 4.2
010340 99999 -10.4 21.0 3.8
010350 99999 -28.3 21.9 3.1
010360 99999 0.2 19.9 10.0
010370 99999 -18.9 19.7 4.2
010410 99999 -7.0 16.8 7.3
010420 99999 -16.9 9.0 -2.3
010430 99999 -9.4 16.0 8.2
010435 99999 -14.9 28.7 3.6
010450 99999 3.5 13.3 6.9
010455 99999 0.7 23.5 10.2
010460 99999 -25.7 26.7 2.9
010470 99999 -47.6 24.3 -0.7
010490 99999 -30.3 26.4 2.5
010510 99999 -16.6 11.0 -0.9
010520 99999 -19.0 24.9 2.2
010530 99999 -19.3 25.0 1.7
010550 99999 -15.3 21.9 3.2
010570 99999 -25.9 8.1 -8.9
010580 99999 -33.4 21.3 -0.7
010590 99999 -31.8 24.6 1.8
010610 99999 -25.8 26.2 1.1
010617 99999 -3.7 17.9 9.3
010620 99999 -34.6 10.8 -2.2
010630 99999 -20.6 19.5 1.5
010650 99999 -42.3 24.1 0.1
010660 99999 -6.7 10.3 3.3
010670 99999 -39.3 19.8 -0.5
010671 99999 6.5 7.1 6.8
010680 99999 -17.3 23.0 2.6
010740 99999 -20.6 25.1 1.8
010750 99999 -42.6 24.3 1.1
010780 99999 -19.7 21.9 2.0
010830 99999 -22.3 26.3 1.8
010840 99999 2.6 10.0 7.2
010880 99999 -23.9 22.4 1.0
010881 99999 -12.4 24.7 5.5
010882 99999 -30.3 25.0 3.6
010883 99999 -10.7 25.4 7.9
010884 99999 -10.8 29.4 9.0
010885 99999 -24.4 26.4 1.0
010886 99999 -15.0 19.9 7.3
010890 99999 -40.3 25.4 0.5
010920 99999 -16.7 25.7 2.1
010970 99999 -21.6 23.2 1.6
010980 99999 -19.2 20.1 1.7
010985 99999 -0.6 25.8 8.0
010986 99999 0.0 21.2 8.2
010987 99999 -0.7 23.8 10.5
011010 99999 9.0 10.8 9.9
011020 99999 -14.2 21.5 6.1
011025 99999 -7.6 19.7 7.2
011030 99999 -17.6 23.5 5.7
011040 99999 0.1 19.8 10.4
011050 99999 -8.7 16.0 5.1
011060 99999 -8.4 17.7 5.8
011070 99999 -8.7 19.1 5.9
011080 99999 -1.7 9.6 2.7
011090 99999 -4.2 19.0 7.8
011100 99999 -10.5 20.3 5.9
011110 99999 0.0 2.7 1.4
011120 99999 -15.9 26.6 6.2
011130 99999 -10.0 21.3 6.1
011133 99999 -30.6 25.0 3.2
011150 99999 -11.1 21.0 5.6
011160 99999 -15.2 25.9 6.1
011170 99999 2.9 8.9 5.1
011210 99999 -13.4 24.6 5.6
011220 99999 -27.4 25.4 4.2
011240 99999 2.7 8.9 4.5
011310 99999 -9.3 19.6 4.5
011320 99999 -23.7 19.7 3.6
011340 99999 -20.8 15.3 2.3
011370 99999 7.3 9.4 8.4
011380 99999 -9.5 18.5 6.2
011410 99999 -12.4 24.4 4.9
011430 99999 -12.2 18.5 4.7
011440 99999 -8.9 20.2 6.3
